Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.00012180280522327858,0.0
0.2425,0.0033881184624465284,0.0
0.2475,0.051780199944358486,0.0
0.2525,0.2511204117839537,0.0
0.2575,0.7040794787780527,0.0005526255413514272
0.2625,1.3017501487987724,0.004088014611847959
0.26749998,1.7468616717705796,0.026532095892303376
0.2725,1.8698201170707318,0.10806818233156587
0.2775,1.7122841681675136,0.2852072109896041
0.2825,1.4323927897449866,0.5397837999619993
0.2875,1.1150750160777343,0.7915661109286816
0.2925,0.856283709727913,0.9867512704898578
0.2975,0.6524313610143297,1.099874967528956
0.3025,0.5087602324591024,1.1586508737551233
0.3075,0.4129801056837065,1.1662552371639103
0.3125,0.3564388616107806,1.1557586957539376
0.3175,0.3238323608368646,1.1201455416768353
0.3225,0.3073724403649965,1.0793376967813622
0.3275,0.30830675270111546,1.0518600492805839
0.3325,0.3136480622516104,1.0151044181041982
0.3375,0.32346399823444916,0.9902767469568202
0.3425,0.3478243627656702,0.9471654108428653
0.3475,0.3643063756712437,0.9268201505897239
0.3525,0.39114759470989097,0.8987068475192859
0.35750002,0.41507927580580367,0.8745442952729343
0.3625,0.4345937560016385,0.8607696108102714
0.3675,0.4667163551509586,0.8310613613920477
0.3725,0.4906992616635915,0.8115931414235493
0.3775,0.5151190310280449,0.7796774027493713
0.3825,0.5416884067510735,0.7647347326518407
0.3875,0.562070453747644,0.7506321877018968
0.39249998,0.5840517844605969,0.7335136211783438
0.3975,0.6070532096253941,0.71299256087777
0.4025,0.627278154959266,0.7004061809120815
0.4075,0.6372334463860745,0.6818359259465576
0.4125,0.6564571228602649,0.6704280185100908
0.4175,0.6682077564169417,0.660534607592837
0.4225,0.6747799374610535,0.6510192673559508
0.4275,0.686676078345372,0.6448333995805864
0.4325,0.6915439807809224,0.6383831365525569
0.4375,0.7018514190847787,0.6319031870282882
0.4425,0.697098699482549,0.6346639199886254
0.4475,0.7081424100890565,0.6273670573361656
0.4525,0.7192036104326593,0.6316030649215695
