Sample Time (ns),"Radius of Gyration (Rg, nm)","Solvent Accessible Surface Area (SASA, nm**2)","Relative Shape Anisotropy (K2, dimensionless)"
0.02,0.9983749561744405,23.903538,0.27637548474149776
0.04,1.0447598588292732,24.605583,0.37035567934197156
0.06,1.0346049076702524,26.434855,0.27951899884762166
0.08,1.0474379628639856,26.21835,0.3143761350061758
0.09999999999999999,1.085712870959753,27.802238,0.29825869499890856
0.12,1.1149010531330745,28.416157,0.2815484360239434
0.13999999999999999,1.0834621305436103,28.73022,0.21828755614892414
0.16,1.089185883510303,28.023233,0.2465911035247511
0.18,1.0900022135271057,30.173153,0.17376475022889004
0.19999999999999998,1.1529791956000945,31.087566,0.13841480223525104
0.22,1.1258473796841575,31.102776,0.1514984130848549
0.24,1.1694563678985692,30.32795,0.1325295385848223
0.26,1.1691370143514501,29.237743,0.13244775857735236
0.27999999999999997,1.119785580749819,29.594345,0.15396066250864382
0.3,1.1014975363845279,28.841454,0.1355335243584873
0.32,1.1205488625022288,30.415215,0.1627771084297538
0.33999999999999997,1.0628332037533124,30.47757,0.12722608291386373
0.36,1.116882489757356,30.041634,0.12741845139721342
0.38,1.2082721420879416,29.11123,0.14632396544624093
0.39999999999999997,1.205139514083346,28.97633,0.1296192462214475
0.42,1.184406136171396,29.604568,0.1842505900170337
0.44,1.2073051186928492,30.300564,0.18290499568994656
0.45999999999999996,1.1614918761408703,30.107407,0.17644764783448097
0.48,1.16739984771742,30.021845,0.26173581719537287
0.5,1.1498102733504927,30.128738,0.15261861956179446
0.52,1.2131764982586621,29.275017,0.22962178708599834
0.5399999999999999,1.185635765765457,27.526005,0.4279372617509498
0.5599999999999999,1.2533295069980195,28.197088,0.4743782184933659
0.58,1.269378272752312,29.187271,0.3884663814377908
0.6,1.2299271876864948,29.558804,0.35856518649470726
0.62,1.3086584752846078,31.773064,0.31630410151517563
0.64,1.3382046155015501,30.26167,0.3249405562914708
0.6599999999999999,1.267177762815854,28.62373,0.35463759875558476
0.6799999999999999,1.2282123877252609,28.254837,0.3714346257574027
0.7,1.2582645728801243,28.53931,0.48581322911547675
0.72,1.2045425212852936,29.125156,0.4424307455507701
0.74,1.2235448173613401,27.909676,0.5317898499644695
0.76,1.2856821782619798,27.48518,0.6013137347464512
0.7799999999999999,1.2017464459808391,27.697876,0.5415128766243904
0.7999999999999999,1.170578134373991,28.793688,0.47559085404648604
0.82,1.217280113290123,29.179794,0.388943138649394
0.84,1.118705317046507,27.294865,0.35948433928274137
0.86,1.147977307891066,27.178154,0.3841034391384741
0.88,1.1402443645522222,28.916471,0.31597142059602257
0.8999999999999999,1.1591475261269835,28.15917,0.38380728600369085
0.9199999999999999,1.1396588705184516,29.922565,0.3413750689179943
0.94,1.0977794469542437,27.869324,0.36210264830284
0.96,1.0709902894799679,26.787376,0.4361370929747316
0.98,1.0861438602701496,26.421825,0.46195141101434856
1.0,1.1338624015638048,26.890858,0.5011512160011922
1.02,1.1591331492095605,27.055414,0.4405065465724721
1.04,1.1121280942110012,27.49317,0.39144594298107027
1.06,1.1499055667501732,27.357872,0.5155202550273039
1.0799999999999998,1.2550060207509344,27.35247,0.5901031024685552
1.0999999999999999,1.1984069355229507,27.446049,0.5126601313558821
1.1199999999999999,1.2083059194925432,28.10063,0.4847989600399042
1.14,1.2743933429608123,28.582336,0.6162084809873907
1.16,1.248903156955693,28.222298,0.5578424280084471
1.18,1.1818246793572766,28.150265,0.46286413012887095
1.2,1.216395624197981,28.20249,0.5358367546291072
1.22,1.2600012362246114,27.064392,0.5577266587162863
1.24,1.2486878541750357,25.335903,0.5470615850119631
1.26,1.1991181625926959,24.974115,0.5267385275762329
1.28,1.07743523243946,26.728165,0.3490835161611485
1.3,1.1000979438671845,27.32495,0.34969105483238005
1.3199999999999998,1.0597986176635177,25.845104,0.338594666269044
1.3399999999999999,1.0971665215347286,27.684238,0.3616737061500953
1.3599999999999999,1.1020950541279058,27.314266,0.30116490853246236
1.38,1.1774101485098944,28.29221,0.3320253525767447
1.4,1.2232069310235267,28.389717,0.3815483557911372
1.42,1.245966359183917,28.956024,0.4249651116020755
1.44,1.4021250891589188,29.527369,0.5894153851734165
1.46,1.3254260405485827,28.019947,0.5735949347982505
1.48,1.2423116574129376,28.137403,0.5673030814125171
1.5,1.2066540323165307,29.380592,0.48112873126145006
1.52,1.161304053239581,29.845768,0.4257273180870109
1.54,1.1292733175615008,29.281357,0.4058389431383451
1.5599999999999998,1.220580206424173,30.395369,0.358440792653808
1.5799999999999998,1.2552297306072318,31.00005,0.36697624014035946
1.5999999999999999,1.224863351947571,31.47123,0.32238990028990433
1.6199999999999999,1.2653895104627162,31.570965,0.31750847607298627
1.64,1.23901147793434,31.92134,0.2048451715214189
1.66,1.180221157108021,31.026516,0.18442706544836984
1.68,1.219118950718565,31.605629,0.06438360201812321
1.7,1.209272965463811,31.11692,0.11191735857812057
1.72,1.1716354788158745,29.614582,0.13857273665400882
1.74,1.1955095464071979,31.25971,0.04498102375109103
1.76,1.1866520396660303,30.726265,0.09789084136247728
1.78,1.1208795850551563,29.574944,0.07837641461734646
1.7999999999999998,1.0474714352881405,29.078276,0.07038503501996729
1.8199999999999998,1.204449498470755,29.911089,0.08182655599075739
1.8399999999999999,1.1248599542809639,30.092691,0.055419205147849926
1.8599999999999999,1.1702421986481852,29.639893,0.08157840930922411
1.88,1.185825802169464,30.410618,0.08273651828883444
1.9,1.2369342209103866,31.018019,0.08634125236746615
1.92,1.1580711397771228,30.194866,0.0802761449429682
1.94,1.167860591907019,28.279911,0.1538276593921144
1.96,1.225327282655101,29.618298,0.29436434701457115
1.98,1.3166448406751796,29.909924,0.3405134682622396
2.0,1.3266465021588465,30.91914,0.3674540895032026
2.02,1.2776173844928802,30.043297,0.3464394341738193
2.04,1.2993689653685976,29.306383,0.3578751711660817
2.06,1.30478602246935,28.802483,0.35548227330658455
2.08,1.2859791780682046,29.294495,0.4221561535179361
2.1,1.2540412702295525,28.821617,0.35556572670646547
2.12,1.306769974671842,29.35831,0.3318102939554104
2.14,1.3477430456009527,29.70747,0.2832217379786389
2.1599999999999997,1.3931811215517913,29.7515,0.3031994717780855
2.1799999999999997,1.422084085781627,29.774944,0.30692857630044257
2.1999999999999997,1.502598580202965,30.720554,0.377502133979162
2.2199999999999998,1.4467950262149554,30.231169,0.29291068020995636
2.2399999999999998,1.416622917708269,29.306011,0.37522579144735824
2.26,1.4667352666401676,31.34235,0.3910440700176978
2.28,1.4627197120161317,30.396355,0.4044774755538191
2.3,1.4253563843686141,31.006628,0.3417429482593709
2.32,1.4987059037118309,31.271366,0.34644167913053947
2.34,1.5444591705204955,31.374535,0.41983858526764994
2.36,1.659522026404322,31.94587,0.441126424506601
2.38,1.690092261813307,31.972157,0.4084076104954236
2.4,1.7299145567837313,31.689226,0.45075852348909473
2.42,1.770304683061577,30.972008,0.44729742201682876
2.44,1.693448235625483,30.892273,0.49130064766719284
2.46,1.649984836287933,30.347282,0.4978079255658723
2.48,1.7116948220073895,30.295238,0.5490533681507539
2.5,1.6322921012523202,28.73714,0.5394893167745558
2.52,1.600213575670781,29.214687,0.4803700454033242
2.54,1.586144741309754,30.277008,0.4112967240694272
2.56,1.6331862388164733,30.230776,0.422436445890361
2.58,1.6486615385735153,30.8416,0.48762262086561214
2.6,1.6332775533746346,29.336601,0.48219417221861616
2.6199999999999997,1.5778578401787355,28.75351,0.41477601855408
2.6399999999999997,1.5089851386533029,29.49687,0.45882419272504993
2.6599999999999997,1.3446647812562933,27.941147,0.3634509470885071
2.6799999999999997,1.3528680482622315,29.493935,0.36223160817269795
2.6999999999999997,1.4274381243873073,30.377882,0.38920570266613963
