Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.0001900334272015159,0.0
0.2425,0.0034632745626494432,0.0
0.2475,0.03972224323494216,0.0
0.2525,0.2142494604019476,0.0
0.2575,0.5841885344757088,5.3886960102915674e-05
0.2625,1.104225299619898,0.0016593195392268952
0.26749998,1.4708334784030452,0.01742670029748312
0.2725,1.5714818850743877,0.07756602464067831
0.2775,1.416395329985249,0.21251033909888098
0.2825,1.177630579085485,0.3689637532693413
0.2875,0.9094301320260023,0.4852340161608459
0.2925,0.6822790520918478,0.5218263301639002
0.2975,0.5100428709560647,0.5012824385516428
0.3025,0.37672855895935836,0.4318243297607322
0.3075,0.28873682730554673,0.3717944829026664
0.3125,0.23273844880290373,0.32164812190321124
0.3175,0.19643674288886148,0.2785275939409371
0.3225,0.18537674915945604,0.24223340591610906
0.3275,0.16576735734230053,0.22160057496804322
0.3325,0.1704838476527856,0.2093315414686431
0.3375,0.16935965805166744,0.20411618724619376
0.3425,0.17897991197209911,0.2024337125538752
0.3475,0.17789089522092288,0.2035448217273334
0.3525,0.19694922268059442,0.20551848364698616
0.35750002,0.20433754686479427,0.21649883197714692
0.3625,0.2188624958947562,0.22943989816871074
0.3675,0.22704841667514958,0.24363654965759177
0.3725,0.24066834973246173,0.25452235916495314
0.3775,0.25446899876504164,0.2756057970662467
0.3825,0.26810607100598827,0.2927724156695015
0.3875,0.27831702275177633,0.31443922184011397
0.39249998,0.2951126550819927,0.34050211327088453
0.3975,0.30612195863102176,0.3674503734797572
0.4025,0.31896455618162517,0.38753465749324684
0.4075,0.3431825181116785,0.4095209533325892
0.4125,0.3500121564809793,0.42426479538887124
0.4175,0.3623615213810587,0.4348461250809752
0.4225,0.3759318472151352,0.4381434536868161
0.4275,0.3856494947400497,0.44133161190200976
0.4325,0.40213152439093547,0.44356337297558013
0.4375,0.40398753581498914,0.45450231202289826
0.4425,0.4127932066402457,0.45903422099091024
0.4475,0.42144634649665474,0.4682479454323332
