Radius (nanometer),g(r) (chain O - water O)
0.0025,0.0
0.0075,0.0
0.012499999,0.0
0.0175,0.0
0.0225,0.0
0.0275,0.0
0.0325,0.0
0.0375,0.0
0.0425,0.0
0.0475,0.0
0.052500002,0.0
0.057499997,0.0
0.0625,0.0
0.067499995,0.0
0.072500005,0.0
0.0775,0.0
0.082499996,0.0
0.087500006,0.0
0.0925,0.0
0.0975,0.0
0.1025,0.0
0.1075,0.0
0.1125,0.0
0.1175,0.0
0.1225,0.0
0.1275,0.0
0.1325,0.0
0.1375,0.0
0.1425,0.0
0.14750001,0.0
0.1525,0.0
0.1575,0.0
0.1625,0.0
0.1675,0.0
0.1725,0.0
0.17750001,0.0
0.1825,0.0
0.1875,0.0
0.1925,0.0
0.19749999,0.0
0.2025,0.0
0.2075,0.0
0.2125,0.0
0.2175,0.0
0.2225,0.0
0.22749999,0.0
0.2325,0.0
0.2375,9.196235542534341e-05
0.2425,0.0008820910450616727
0.2475,0.008468139946597793
0.2525,0.049874351137323227
0.2575,0.16761230242762498
0.2625,0.3703791378257546
0.26749998,0.6169446347403305
0.2725,0.8315388106643566
0.2775,0.9421607133283316
0.2825,0.975079064911429
0.2875,0.9190221191080186
0.2925,0.838701579092712
0.2975,0.752251395778957
0.3025,0.6485978973996951
0.3075,0.5632444363488305
0.3125,0.49445162832466566
0.3175,0.44449898515089065
0.3225,0.4051612264702519
0.3275,0.37206237413143606
0.3325,0.348290478255901
0.3375,0.3390036321233223
0.3425,0.3331574300758641
0.3475,0.3267110982985251
0.3525,0.33372794863777
0.35750002,0.3349274733539954
0.3625,0.3472684647012096
0.3675,0.36046706062244394
0.3725,0.3895491785174037
0.3775,0.40956555011895013
0.3825,0.43468559958528036
0.3875,0.463510081296227
0.39249998,0.5010017670427488
0.3975,0.5424368376292472
0.4025,0.5843410689144235
0.4075,0.6163553056350539
0.4125,0.6579496449269865
0.4175,0.7010892208797096
0.4225,0.7332935426754805
0.4275,0.7788348562322176
0.4325,0.8203584297415288
0.4375,0.8668929846609162
0.4425,0.9049820394652623
0.4475,0.9471082538662963
0.4525,0.9905568529467009
0.4575,1.0205471216429334
0.4625,1.0365145647227174
0.4675,1.0475949596174543
0.4725,1.0509843857000296
0.4775,1.0453567423321863
0.48250002,1.035786335158072
0.4875,1.0232535931511344
0.4925,1.010367128008054
0.4975,0.9886822488202369
0.5025,0.9797061631995645
0.5075,0.9633687645077316
0.5125,0.949053197499469
0.5175,0.9282015498737847
0.5225,0.919517379495175
0.5275,0.9029602443686089
0.5325,0.8952942305547117
0.5375,0.8844984941002297
0.5425,0.8773698568114581
0.5475,0.8642854834821624
0.5525,0.8516432056398602
0.5575,0.8395839445468023
0.5625,0.8392479363411832
0.5675,0.8304613186722888
0.5725,0.8199197630939536
0.5775,0.8134652558182913
0.5825,0.8127345465130008
0.5875,0.7995730783388333
0.5925,0.7927339615860987
0.5975,0.7870417743149212
0.6025,0.7864080195390916
0.6075,0.783067574559897
0.6125,0.7794530322073968
0.6175,0.7767326767399678
0.6225,0.7761392582193131
0.6275,0.7787450387150819
0.6325,0.7774316163460683
0.6375,0.7808862959898971
0.6425,0.780840425563247
0.6475,0.7875827411593419
0.6525,0.7888231523570249
0.6575,0.7969442331550253
0.6625,0.8036824142117655
0.6675,0.8173863340957418
0.6725,0.8254846602875083
0.6775,0.8303836021954434
0.6825,0.8356048883682224
0.6875,0.8480010851547216
0.6925,0.8549060019688894
0.6975,0.861120211785394
0.7025,0.8742951416861087
0.7075,0.8849287347953759
0.7125,0.8881183962861376
0.7175,0.8946841194289891
0.7225,0.9010708563900932
0.7275,0.9061104767032969
0.7325,0.9107957135826281
0.7375,0.9149504669273341
0.7425,0.9170346540989197
0.7475,0.9210116844122903
0.7525,0.923992221242832
0.7575,0.917665781039595
0.7625,0.9200000055763795
0.7675,0.9199375024509855
0.7725,0.915789552318881
0.7775,0.9157912950833377
0.7825,0.9136935922675808
0.7875,0.9161059323681474
0.7925,0.9147494860226754
0.7975,0.9086855884831483
0.8025,0.9116080846023878
0.8075,0.9150705787384456
0.8125,0.9117816873614473
0.8175,0.9099382964902399
0.8225,0.9093082803670338
0.8275,0.910783070849831
0.8325,0.908727468864217
0.8375,0.9088791005560336
0.8425,0.911662193661575
0.8475,0.9119331239412801
0.8525,0.9105233773148514
0.8575,0.9131798246508455
0.8625,0.9121656590740753
0.8675,0.9133034489146614
0.8725,0.9137387212809507
0.8775,0.9138447387819991
0.8825,0.9142121605017548
0.8875,0.9158305759206482
0.8925,0.9129570129245327
0.8975,0.9155852107811346
0.9025,0.9127812243320385
0.9075,0.918039576087746
0.9125,0.9178166013848862
0.9175,0.9193852696534301
0.9225,0.9173903862783086
0.9275,0.9180563513278853
0.9325,0.9181399107678412
0.9375,0.9210781646997589
0.9425,0.9240952182646388
0.9475,0.9234115875885637
0.9525,0.926680564273573
0.9575,0.922961692496751
0.9625,0.928773361386946
0.9675,0.9283852422471298
0.9725,0.9275048325398012
0.9775,0.9301580041382521
0.9825,0.9291435230220051
0.9875,0.9314885404181538
