Sample Time (ns),"Radius of Gyration (Rg, nm)","Solvent Accessible Surface Area (SASA, nm**2)","Relative Shape Anisotropy (K2, dimensionless)"
0.02,0.8267802243550477,24.991415,0.019299415728675773
0.04,0.8448332929548428,26.32217,0.023549907319088348
0.06,0.8592316905000666,26.793081,0.02453722784959067
0.08,0.859610336193787,27.15599,0.013672282564917704
0.09999999999999999,0.8363427374865012,25.823908,0.016485634746846944
0.12,0.8412700204694304,26.20377,0.02075411724847609
0.13999999999999999,0.8592001621492984,27.15172,0.022544056724746797
0.16,0.8599434450310518,27.134516,0.022816855807853198
0.18,0.8648809307267037,27.127447,0.03641504344314361
0.19999999999999998,0.8450017198644122,26.032438,0.028621435128468597
0.22,0.8381002055834559,24.723848,0.048369714414970844
0.24,0.8440075403006086,24.861576,0.046967156622765516
0.26,0.8472188384796991,24.873718,0.04929844494446445
0.27999999999999997,0.8571585700116493,25.843307,0.04354413244877153
0.3,0.8473056982165902,24.96934,0.05321246702019633
0.32,0.8545159230667728,25.503912,0.029208136141015695
0.33999999999999997,0.8435378593527532,25.509733,0.019556306899372933
0.36,0.8491855991566319,25.682009,0.049855432498822294
0.38,0.8534615155161259,26.219433,0.019331421215673994
0.39999999999999997,0.862266991915942,27.407923,0.024565589703826052
0.42,0.853540546555872,26.741703,0.01563947690597356
0.44,0.8475417210249966,25.917065,0.00804531044888579
0.45999999999999996,0.8462393094963966,25.646742,0.011766793287231292
0.48,0.8382771643634026,25.29133,0.009118844758421285
0.5,0.8349074886004981,25.369045,0.008740481499291408
0.52,0.8276906069123401,25.041271,0.007457884130560033
0.5399999999999999,0.8406116980822634,25.982512,0.002547215323513319
0.5599999999999999,0.8390362456928573,26.077288,0.0042418374845785145
0.58,0.8440597657195374,25.672316,0.0051098755154652675
0.6,0.8420508039407005,25.77189,0.0032672248220253497
0.62,0.8269123021336984,24.676954,0.006520589376099117
0.64,0.8283648777062349,24.71403,0.008304461549602626
0.6599999999999999,0.8423077133944215,25.260279,0.013039817013950183
0.6799999999999999,0.8425612124696688,25.801996,0.012513897339883728
0.7,0.8397961091236822,25.66807,0.004770071882919336
0.72,0.8493435093339623,26.01795,0.021078366445645313
0.74,0.8336905544063491,24.914112,0.024800121276877585
0.76,0.8407463929175744,24.873684,0.025856270712944718
0.7799999999999999,0.8629466987114912,26.6107,0.035210294661927155
0.7999999999999999,0.8697895101659254,26.389624,0.03938328848828154
0.82,0.8615291662970549,26.252108,0.0446085062929531
