Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.4575,0.37003814969987314,0.4552358780716891
0.4625,0.37798439300352976,0.4690681901595627
0.4675,0.39008667326669433,0.47996831986714783
0.4725,0.4107832504042037,0.49437091098990105
0.4775,0.4322714362515529,0.5070333924125358
0.48250002,0.4582937612536459,0.5226108452452314
0.4875,0.4736340481800525,0.5395560644103322
0.4925,0.4851197653002745,0.5475295604778481
0.4975,0.49056335179547017,0.5497901845322555
0.5025,0.4901057058001363,0.5508488097358621
0.5075,0.4763206178265114,0.5514823990250961
0.5125,0.46768206940880186,0.5552346997877405
0.5175,0.46001155516653763,0.5583843450220105
0.5225,0.44940316097043764,0.5621335589163018
0.5275,0.43531146387948105,0.5730519993598597
0.5325,0.4327790085167134,0.5916872938512283
0.5375,0.4223455332097475,0.5947521651766365
0.5425,0.42016802417957516,0.6040180965462181
0.5475,0.4156420118651822,0.6109331946429343
0.5525,0.40906563679302016,0.6193114662007773
0.5575,0.41013265964799317,0.6298359077711738
0.5625,0.40933319815297037,0.6307720448774099
0.5675,0.4061140349227042,0.6389480138506285
0.5725,0.40427380008175795,0.6376051373100232
0.5775,0.40907885815851663,0.6394797175273623
0.5825,0.4131151949186062,0.6392521608093209
0.5875,0.41821542198811806,0.6403428614784527
0.5925,0.42093546604902116,0.6335052806130138
0.5975,0.42942959734327973,0.6287690146275239
0.6025,0.43819109947402374,0.6245485732005918
0.6075,0.44322812963355224,0.615743637849124
0.6125,0.4515095174948373,0.6113986976705973
0.6175,0.46482804612654766,0.6035538710507398
0.6225,0.4704404435192512,0.5914074179104144
0.6275,0.48422806731065327,0.5881999670578295
0.6325,0.4964689837737185,0.5814202241150057
0.6375,0.5077606418233799,0.5817651022276741
0.6425,0.5176679787123025,0.5659997009296138
0.6475,0.5328189256839169,0.5699739040402789
0.6525,0.5455020338487568,0.5658398000899562
0.6575,0.5541939653304575,0.5600300224218823
0.6625,0.5673522324625848,0.563297448349751
0.6675,0.5799091936850899,0.560346823025939
0.6725,0.5880521654798014,0.559281701430998
0.6775,0.5984568182456845,0.5616620048273242
0.6825,0.6052165978419423,0.5665269873495048
0.6875,0.6111277683859101,0.5611436577721545
0.6925,0.6207507647022522,0.5657029147760153
0.6975,0.6295833376373409,0.565670088065733
0.7025,0.6363265347224508,0.5706619579777575
0.7075,0.6377790926071192,0.5698625051425593
0.7125,0.6461682060219036,0.5704726473745974
0.7175,0.6547158168909273,0.5727140786578142
0.7225,0.6497727775479144,0.5774860438219924
0.7275,0.6574757197560555,0.5800616877242273
0.7325,0.6627485249210986,0.5817723467025742
0.7375,0.6596476416018292,0.5833727210719816
0.7425,0.6626700171270511,0.588754080461691
0.7475,0.6592510358808562,0.5926140892987609
0.7525,0.6602505486872479,0.5972541429005732
0.7575,0.6583455240845552,0.6031906828114932
0.7625,0.6581794877286388,0.6072122357208514
0.7675,0.656384993877805,0.6121402505431393
0.7725,0.6542743137701834,0.6175171952785548
0.7775,0.6526367905531478,0.6239888269394903
0.7825,0.6455655015940411,0.6289437015313009
0.7875,0.6454560949412843,0.6341097593378615
0.7925,0.6472061313568797,0.6405260427525316
0.7975,0.644023842628747,0.6435968083754903
0.8025,0.6452472675322599,0.6520726385252482
0.8075,0.642246157092338,0.659142756535238
0.8125,0.6377455065688759,0.6654455639248977
0.8175,0.6398928930970473,0.672714768799667
0.8225,0.6387277635792347,0.6714528284631468
0.8275,0.6414640025546459,0.6792226596303005
0.8325,0.6420068515003368,0.6812002694192982
0.8375,0.6433171862388192,0.6839343375372461
0.8425,0.6413203298464637,0.6884242613755926
0.8475,0.6435725115614727,0.6948493442182375
0.8525,0.6442365257499149,0.696276026204148
0.8575,0.647490026758579,0.7018015053665618
0.8625,0.649595468016798,0.7048833572176391
0.8675,0.6519948049357859,0.7047289805280066
0.8725,0.6562823038225281,0.7080897408579242
0.8775,0.6575451975666059,0.7115021460908109
0.8825,0.6598361055362418,0.7083563003925001
0.8875,0.6635625642985882,0.7091191419520002
0.8925,0.6694575686626383,0.7100054677751763
0.8975,0.671944900402817,0.7134487235557142
0.9025,0.6743270938371821,0.7131564144988848
0.9075,0.681219713545876,0.712158407850531
0.9125,0.6825230664492656,0.7170168183596504
0.9175,0.6884875139761004,0.716247087372716
0.9225,0.6924358265978794,0.7170437477580474
0.9275,0.6967649990617382,0.7179762727176366
0.9325,0.697658971289193,0.7180596542230138
0.9375,0.7010640979043006,0.7185073468313941
0.9425,0.7044941842630634,0.7199223562660605
0.9475,0.710382387226699,0.7228338528700406
0.9525,0.7136413248253409,0.723480850308513
0.9575,0.7169241040668696,0.7227476214516367
0.9625,0.724149432995513,0.7252256873266593
0.9675,0.7221663348419745,0.7271790192623757
0.9725,0.7252250635279003,0.7326764847580272
0.9775,0.7318634020730012,0.7315155760266975
0.9825,0.7342897743475917,0.7339862034912731
0.9875,0.7336182409593822,0.7348532453163685
0.9925,0.7382844429791913,0.7374536625648396
0.9975,0.740268464134503,0.7407964269131271
1.0025,0.7435256498796621,0.7431167265957814
1.0074999,0.7448928758148075,0.7447274058713664
1.0125,0.7464181882830311,0.7499912851296424
1.0174999,0.7536805933995475,0.7476019673554309
1.0225,0.7533224339086187,0.751791130961651
1.0274999,0.7558393059558107,0.756722770320844
1.0325,0.7548289483705026,0.7578660577362955
1.0374999,0.7573270441589227,0.7587181214480608
1.0425,0.7621159905241887,0.7594229430627208
1.0474999,0.7633708303843157,0.7649862508098985
1.0525,0.7652529968557298,0.7669176282671996
1.0574999,0.7690237629643358,0.7682791918127532
1.0625,0.7683636788461883,0.7681262657702872
1.0675001,0.7688063067587858,0.7729677969611439
1.0725,0.7743924354949673,0.7742526282309313
1.0775001,0.7745914889102238,0.779891934548192
1.0825,0.7764557501751901,0.7806521159234602
1.0875001,0.7778306891946546,0.7806650540173316
1.0925,0.783607684162374,0.7818800734646238
1.0975001,0.7843692385858809,0.7831528080584814
1.1025,0.7843481702652647,0.7857417568636069
1.1075001,0.7887264954362293,0.7881117346025037
1.1125,0.7932407168541834,0.7927671765075623
1.1175001,0.7893976195814124,0.7912805921562424
1.1225,0.7946977042647745,0.7949869977469852
1.1275,0.7968771948164667,0.7969277950129817
1.1324999,0.7984041168352265,0.798685538397238
1.1375,0.8003693368585705,0.802827439712395
1.1424999,0.8043386325682685,0.7994845439765317
1.1475,0.800851785202081,0.8018831007247536
1.1524999,0.8076536612192677,0.8065801617328542
1.1575,0.8108044444663014,0.809617501934408
1.1624999,0.8125293053372776,0.8089461416450391
1.1675,0.812075806348406,0.8115881518640617
1.1724999,0.814646276291335,0.8137754528018136
1.1775,0.8125646225359267,0.8139074745031701
1.1824999,0.8184208063080087,0.8151571619200171
1.1875,0.8170072254590461,0.8187025819103534
1.1925001,0.8212103409278224,0.8176745406754067
1.1975,0.823455656954117,0.8207567256393336
1.2025001,0.8235174000704037,0.8223583170002609
1.2075,0.8238179234914081,0.8254600740652801
1.2125001,0.8236545886411649,0.8242039477437346
1.2175,0.8285322065890971,0.8272399756230031
1.2225001,0.8270517972198715,0.8289097495044826
1.2275,0.8286236028715389,0.827881244618162
1.2325001,0.831096787967383,0.831654343685461
1.2375,0.833283319551893,0.8346391244965411
1.2425001,0.8353022782787579,0.8366147876782393
1.2475,0.8361243181366746,0.8351713456086911
1.2525,0.83915900320368,0.8373889812001367
1.2574999,0.8388029087011737,0.839541906260589
1.2625,0.8402028065689329,0.8398418330727393
1.2674999,0.8420210280869193,0.8456001112763434
1.2725,0.8445997429959783,0.8458753833955981
1.2774999,0.8453037097518195,0.8470883398034156
1.2825,0.8498939598820998,0.8507499938214556
1.2874999,0.8491598703652739,0.8492288579754629
1.2925,0.8523845613033048,0.8517513620769148
1.2974999,0.854967989646304,0.8532570559761615
1.3025,0.8543474480085028,0.8561800838562555
1.3074999,0.8568795415546453,0.8572599941312055
1.3125,0.8597758506729122,0.8574358729680455
1.3175001,0.8591808629765108,0.8579682321343957
1.3225,0.8636094270100405,0.8589610377503482
