Sample Time (ns),"Radius of Gyration (Rg, nm)","Solvent Accessible Surface Area (SASA, nm**2)","Relative Shape Anisotropy (K2, dimensionless)"
0.02,0.9685451735252922,28.072206,0.2661630203786116
0.04,0.9680880622683047,28.424932,0.2658085778129785
0.06,0.9714224134447733,28.328337,0.28798810234340777
0.08,0.9733786161322867,27.92476,0.2837840478176705
0.09999999999999999,0.9843460642316931,28.769197,0.2911472395700663
0.12,0.9669615663400009,28.087175,0.2651123994779673
0.13999999999999999,0.9662041433786902,28.584389,0.23448945301473034
0.16,0.965817937574944,28.523722,0.2402204159034359
0.18,0.9770553354019917,28.557867,0.261199184701996
0.19999999999999998,0.9736229552424264,28.562551,0.2693654435067161
0.22,0.9622076146893176,28.059198,0.2364074788830749
0.24,0.9754550776557266,29.026653,0.25764615151930703
0.26,0.9793032308832909,29.052752,0.26253228705342346
0.27999999999999997,0.9915915287469216,29.393366,0.27205482217039045
0.3,1.0029610876199753,29.533594,0.2762736903674399
0.32,1.0068312676309157,29.77296,0.2821108112569347
0.33999999999999997,1.0060791606374886,30.537636,0.2770626514422595
0.36,1.0267948233602093,30.963593,0.2736151750219715
0.38,1.0251600560278735,30.231691,0.2764180040565454
0.39999999999999997,1.017057304764521,30.07423,0.2760351807678356
0.42,1.0203415492358068,29.677462,0.27885160704818657
0.44,1.0347445643357718,30.383217,0.2797008273472923
0.45999999999999996,1.0286913401442184,30.341534,0.26940354793531207
0.48,0.9886518311818348,29.311218,0.22368403985041263
0.5,1.0195102047203495,30.563097,0.24336555534913773
0.52,1.0097612247284127,30.92177,0.20198441088778563
0.5399999999999999,1.00852253788428,29.936926,0.2343675966782388
0.5599999999999999,1.020112988051548,30.552769,0.23449688467275764
0.58,1.0245760063020009,30.508911,0.2547592777853358
0.6,1.0110226772400233,30.171701,0.2312326681175645
0.62,1.0291231781055694,30.600855,0.2619365389857711
0.64,1.0194776096358587,30.662481,0.22662986507772398
0.6599999999999999,1.0033763770203956,30.008205,0.21393422927321748
0.6799999999999999,1.0030277312497489,30.370256,0.1962533206700594
0.7,1.0073707542062909,31.019016,0.2103176416584076
0.72,1.024567600815131,31.105703,0.22503813130569517
0.74,1.0106500994615266,31.312359,0.20140897818072334
0.76,0.9758655944737162,31.180212,0.1492744207922333
