Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.00025331202692231887,0.0
0.2425,0.0032801437056014077,0.0
0.2475,0.04781757703699359,0.0
0.2525,0.22203762760929416,0.0
0.2575,0.6386099432208574,0.0001077458989743306
0.2625,1.1790028750077837,0.002695693158352229
0.26749998,1.577629798023821,0.020267623263540528
0.2725,1.6873438630846083,0.0887062972838413
0.2775,1.5391396500583152,0.22757742987299862
0.2825,1.278929674663305,0.39321727476698753
0.2875,0.9871133948828519,0.5176500260017862
0.2925,0.7436858119764339,0.5646951834146232
0.2975,0.5488577838899593,0.5362654147029847
0.3025,0.4092266173090492,0.4816405613239577
0.3075,0.32171750624720585,0.40520690136302606
0.3125,0.2581002284247948,0.3533149243700529
0.3175,0.22884493347501228,0.29907885390664346
0.3225,0.2074127341467145,0.2714671718323616
0.3275,0.19629798586488081,0.24452321211739989
0.3325,0.19842068295712065,0.2363212628478066
0.3375,0.19838684268102327,0.22748943357700643
0.3425,0.20341642723730355,0.2274731603986014
0.3475,0.20792914279771552,0.23404970519498153
0.3525,0.22504271275579085,0.2362833490214416
0.35750002,0.23718121094069433,0.242910900811404
0.3625,0.2483004303703942,0.2572168460876582
0.3675,0.26163818113590565,0.2667164798397162
0.3725,0.2734811971922272,0.28236296439841363
0.3775,0.2904488590058845,0.3026062506187139
0.3825,0.30466002703856215,0.3211650902119928
0.3875,0.3150711549829211,0.3413112247462979
0.39249998,0.32837933064625696,0.3662442824147457
0.3975,0.3506702518937601,0.3940320946590384
0.4025,0.36187837618668517,0.41933968793068355
0.4075,0.3709511729488552,0.4340885942319038
0.4125,0.3877935729931913,0.4547421277937157
0.4175,0.39817228132931803,0.46625238419493104
0.4225,0.4133154606514899,0.4722290229715241
0.4275,0.42157292115237194,0.48079797452272094
0.4325,0.4317607844450749,0.48297854833917414
0.4375,0.43876332743534185,0.49202706782243094
0.4425,0.447220779727954,0.4945261351099637
0.4475,0.4574411362446099,0.5011445672147898
