#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
10000,19.999999999999794,-584197.1614523442,106506.00830772193,-477691.1531446222,299.9234007344852,423.00439536871323,1.0061300773513313,0
20000,40.00000000000292,-585114.8779508905,106266.3866484738,-478848.49130241666,299.2486205594204,423.4703542956195,1.0050229979857628,251
30000,60.00000000002736,-585194.0566492802,105771.04144022288,-479423.01520905737,297.8537169126054,424.7160782060254,1.0020751906308185,226
40000,79.99999999999496,-585159.9032195853,106744.08180130186,-478415.82141828345,300.5938212389597,423.90550244793235,1.0039913201753072,234
50000,99.99999999994834,-582888.2430758183,106634.65986390051,-476253.5832119178,300.2856865139633,424.645044444515,1.0022428157356866,238
60000,119.99999999990173,-583027.3805628465,106459.3559256994,-476568.02463714714,299.7920265398188,424.55323946922755,1.0024595397372413,241
70000,139.99999999994037,-584296.752877777,107187.46315448324,-477109.28972329374,301.84239345926306,426.61901991921,0.9976054164506615,234
80000,160.00000000003587,-583563.5935791037,107350.91508993285,-476212.67848917085,302.3026779175355,425.9318597847378,0.9992148632585732,237
90000,180.00000000013137,-584603.8244894664,107596.24420064839,-477007.580288818,302.9935304089028,424.48148475430463,1.002628996359212,239
100000,200.00000000022686,-583490.1782695223,107219.3902209028,-476270.78804861946,301.93230082212625,425.5590411702684,1.0000902433230006,235
110000,220.00000000032236,-583375.0311053987,107040.81309519296,-476334.2180102057,301.42942347569954,425.0553702033015,1.0012753040356033,236
120000,240.00000000041786,-583323.0459918343,106853.43459580117,-476469.6113960331,300.90176125593314,425.65074014837,0.9998747914403371,238
130000,260.00000000051335,-583817.7468350707,106009.80741499821,-477807.9394200725,298.52608746025936,425.62986215865925,0.9999238372838355,235
140000,280.00000000060885,-584457.4842035472,107341.88126031688,-477115.60294323036,302.27723844286993,424.4391301097088,1.0027290483850262,236
150000,300.00000000070435,-584522.2975311228,106348.99264620733,-478173.3048849155,299.48124097356384,423.6845262362105,1.0045149602537045,237
160000,320.00000000079984,-583823.3871969734,106490.34474960389,-477333.04244736955,299.8792917899007,424.55255335979876,1.0024611597886028,234
170000,340.00000000089534,-582837.7107937764,106034.8048127605,-476802.90598101594,298.5964807147387,425.52968554022027,1.0001592356405649,235
180000,360.00000000099084,-584762.5552123729,106936.4316405388,-477826.1235718341,301.1354828675506,424.87153489363163,1.0017085402975436,236
190000,380.00000000108633,-585257.8184135044,107360.06251882692,-477897.7558946775,302.32843729041485,425.23299258430205,1.0008570653132054,234
200000,400.00000000118183,-584646.4606807549,107040.49955015248,-477605.9611306024,301.4285405255607,423.56475735492336,1.0047990009604362,235
210000,420.00000000127733,-585380.3150217975,106401.98909872107,-478978.3259230765,299.63048021853547,424.8187371766,1.0018330355691276,236
220000,440.0000000013728,-584555.3554016603,107210.6699310434,-477344.6854706169,301.90774428271993,423.8331156002582,1.0041627927763965,234
230000,460.0000000014683,-583846.1189835197,106838.45712720527,-477007.66185631446,300.8595843554273,425.4872798129198,1.000258915423759,235
240000,480.0000000015638,-584844.5742568672,106177.64401042135,-478666.9302464458,298.99871922316964,424.1973864223401,1.0033004885337566,236
250000,500.0000000016593,-583732.4873189465,107043.5014913333,-476688.9858276132,301.4369940618641,426.30758143505295,0.9983342158720568,235
260000,520.0000000015274,-584106.756670115,106638.63317809012,-477468.12349202496,300.2968754592901,425.26533929899375,1.0007809376937005,235
270000,540.0000000010544,-583905.0075575546,107208.27921677125,-476696.7283407834,301.90101197563143,425.4209570359748,1.0004148549651417,236
280000,560.0000000005815,-584875.0322936503,106556.04644988541,-478318.9858437649,300.0643093085888,424.6409867669348,1.0022523927156064,235
290000,580.0000000001086,-583019.3790722028,107001.42937977397,-476017.94969242887,301.3185180155316,426.05832035882275,0.9989182811260252,235
300000,599.9999999996356,-583370.8879612014,106714.50258861185,-476656.3853725895,300.5105254868985,425.79716481582483,0.999530950884479,236
310000,619.9999999991627,-583149.3266247045,106485.5205060856,-476663.80611861893,299.86570660775965,426.0117102022727,0.9990275732800878,235
320000,639.9999999986898,-583444.8052925994,106505.8442624039,-476938.96103019547,299.9229387790478,425.07878063772154,1.0012201606341697,235
330000,659.9999999982168,-583304.4012210951,107563.0988857816,-475741.3023353135,302.90019243002985,426.18624675714267,0.9986184403430511,236
340000,679.9999999977439,-583267.7543180832,105911.8228229107,-477355.93149517244,298.25016056613003,425.70705825155505,0.9997425149121825,235
