Sample Time (ns),"Radius of Gyration (Rg, nm)","Solvent Accessible Surface Area (SASA, nm**2)","Relative Shape Anisotropy (K2, dimensionless)"
0.02,0.9001454560391657,27.010357,0.08252270064958134
0.04,0.8889418502484921,26.089437,0.07606180760928616
0.06,0.8989253209365473,27.16006,0.07653034419311311
0.08,0.8891880231931916,26.752487,0.07310239977231558
0.09999999999999999,0.8881069432258646,26.344076,0.07480982682597959
0.12,0.8772771709034255,25.665337,0.06411159613105943
0.13999999999999999,0.894146625555844,26.724567,0.06480178034956008
0.16,0.9016235312848327,27.558207,0.06245474860499178
0.18,0.9071457552520549,27.40448,0.07107984902976539
0.19999999999999998,0.8836490525255596,26.189928,0.05750998171689825
0.22,0.8927887577057867,26.899757,0.0532879442951274
0.24,0.8926006433368161,26.872375,0.06576037904951071
0.26,0.8877554191779521,26.027473,0.07213749128209801
0.27999999999999997,0.8973868808091825,26.796309,0.06703063171677559
0.3,0.8995997494592012,27.402304,0.06921666339813437
0.32,0.8988710603319311,26.54523,0.07259675623717987
0.33999999999999997,0.9007427901780771,26.770079,0.06573848598328369
0.36,0.8949466399598881,27.100712,0.053895463837169144
0.38,0.8944662720555112,26.475416,0.06323109410308314
0.39999999999999997,0.887205959315976,26.355728,0.05327257375966865
0.42,0.8782377140589116,26.030567,0.051179972797928186
0.44,0.8841871951495893,25.8477,0.07583259865319159
0.45999999999999996,0.9000593913456504,26.404072,0.08674162233652494
0.48,0.896721331878737,26.50172,0.07708448134622914
0.5,0.9009698312092264,26.63468,0.06494674048066973
0.52,0.9027746016575788,27.200531,0.06638045870108489
0.5399999999999999,0.9013497184436357,26.82788,0.08072639861511577
0.5599999999999999,0.8975245865993738,26.585056,0.08150539960029657
0.58,0.8919726866027606,26.80258,0.0698253584306211
0.6,0.9102576850413042,27.005896,0.0854484861230117
0.62,0.9096454297028643,27.651968,0.08076986226595317
0.64,0.9175005423288806,27.343212,0.08385672049540072
0.6599999999999999,0.8931486927067833,26.656738,0.057853416587952955
0.6799999999999999,0.9028066822671607,27.108446,0.07052322619049534
0.7,0.8887724003846975,27.082235,0.06761470861581254
0.72,0.9000063347729759,27.258068,0.06729097042346632
0.74,0.8940233534066061,26.922873,0.06766187919330202
0.76,0.8961319977371088,27.4477,0.06245778921468281
0.7799999999999999,0.8933534133699996,27.594305,0.05795416245595186
0.7999999999999999,0.886319495767601,26.51557,0.05783707412598682
0.82,0.8997029702864191,27.437305,0.06554411574507901
0.84,0.8977077415483786,27.71263,0.06609930737834335
0.86,0.9024440383721655,27.151663,0.0709089947717565
0.88,0.8917029570221193,27.026073,0.06653514433104135
0.8999999999999999,0.8912484188700674,27.03811,0.06176040098398394
0.9199999999999999,0.8992509900175923,27.339632,0.06581269283331959
0.94,0.902503634772926,27.54168,0.06354835948411208
0.96,0.907985315610357,27.33919,0.06996176985183511
0.98,0.8873458854267021,26.90035,0.0625103479256165
1.0,0.8824047577551155,26.823896,0.05128734692990111
1.02,0.9024581597212994,27.225286,0.06645404543239752
1.04,0.9039914524027648,27.88382,0.06626348533550008
1.06,0.9049388803197113,27.219936,0.07201782202059881
1.0799999999999998,0.905680407101611,27.784872,0.06484982072715617
1.0999999999999999,0.9003074329211538,26.946913,0.0693654456954691
1.1199999999999999,0.8867519203864035,26.695103,0.06930430923171571
1.14,0.889366842565366,26.911726,0.07533317075599366
1.16,0.9075854091163819,27.420174,0.08127196422553973
1.18,0.9051521011552449,28.021587,0.08096020609292032
1.2,0.9130914552024869,27.58731,0.08110034212936146
1.22,0.8987932226697618,26.7845,0.08372047127545212
1.24,0.8930744454250129,26.21682,0.05785558762059784
1.26,0.9077668330434686,26.9407,0.07447009542898886
1.28,0.8980160534384526,26.440044,0.07287295494449464
1.3,0.8979600655397392,27.150894,0.06439865087559926
1.3199999999999998,0.8962382044716738,26.836535,0.0850132276345964
1.3399999999999999,0.8785389077409755,26.383791,0.06831928307738344
1.3599999999999999,0.8917752722833349,26.439709,0.06694747227325681
1.38,0.89135340024543,27.210667,0.07869139255238933
1.4,0.8976663756891547,27.01476,0.0690110297624359
1.42,0.8702122745148708,26.034018,0.06263254421868047
1.44,0.888467554054904,27.420105,0.08155130511499431
1.46,0.8843418147742519,26.776167,0.06891716626025823
1.48,0.8930623235444516,26.973768,0.07612156263996794
1.5,0.8950425628276428,27.014196,0.07404135457313576
1.52,0.8962692365714646,27.035894,0.07616957787598688
1.54,0.8996985254333283,27.459248,0.06579585709243696
1.5599999999999998,0.9133579938686518,27.707193,0.0710356068242225
1.5799999999999998,0.8790536639896873,26.187054,0.051444476432923714
1.5999999999999999,0.9026099816564076,27.544104,0.0712036159880588
1.6199999999999999,0.892960715079016,26.776,0.0711471521668875
1.64,0.8954941129567007,27.184088,0.07301719834274578
1.66,0.8957999641520908,26.949532,0.06924195013544343
1.68,0.8970951433560792,26.866348,0.07386082817834061
1.7,0.8919951909072071,26.594795,0.06753225178181888
1.72,0.8894023118880495,26.78896,0.056821567943952656
1.74,0.8882680509805058,26.556093,0.06529708339595353
1.76,0.896419897886864,26.903313,0.07681464355098389
1.78,0.8904870432163499,26.275986,0.06202817148098194
1.7999999999999998,0.8964646401457026,26.985386,0.07269682207770445
1.8199999999999998,0.8945575038700027,27.264648,0.07591324448973236
1.8399999999999999,0.8895425389222016,26.49846,0.07568314540251342
1.8599999999999999,0.8834831611009474,26.94271,0.07432925655633305
1.88,0.8927401108527154,26.848415,0.07312769807295094
1.9,0.8912913102194453,27.425564,0.0631565057845288
1.92,0.8872463540623486,26.280224,0.06687155939065259
1.94,0.8958272608373435,26.49017,0.06590994565061081
