Sample Time (ns),"Radius of Gyration (Rg, nm)","Solvent Accessible Surface Area (SASA, nm**2)","Relative Shape Anisotropy (K2, dimensionless)"
0.02,0.765440479171867,18.150467,0.16536970395514272
0.04,0.7723031461629833,18.327494,0.14875232947588857
0.06,0.8021527308956258,19.626396,0.15491668620947308
0.08,0.7887149934028093,19.074078,0.14211599521370955
0.09999999999999999,0.7830587687363212,18.490599,0.1378253795729707
0.12,0.7391625305258788,17.974075,0.0936154540593166
0.13999999999999999,0.73557056999276,17.895275,0.0751384432485811
0.16,0.7471822347258811,18.018904,0.1184308953975226
0.18,0.7297816248659723,17.175467,0.11981728156040805
0.19999999999999998,0.7093122434852163,16.508436,0.08092844858606307
0.22,0.7116466666479532,16.763641,0.08440609241905161
0.24,0.7004407217654478,16.081196,0.09198291613234955
0.26,0.7216502168840034,16.890594,0.10253126698961956
0.27999999999999997,0.7189189670221138,16.233238,0.15328295348831456
0.3,0.6969025381539765,16.529226,0.07633218774737449
0.32,0.7372184353836527,17.641514,0.12314025001561035
0.33999999999999997,0.730849130366919,18.223269,0.06537557940007244
0.36,0.7642751227153264,18.872463,0.07907571802431346
0.38,0.7574428747652536,18.6731,0.11661018288085989
0.39999999999999997,0.7595477796987442,18.325344,0.10347695767041998
0.42,0.7785292660558735,18.879822,0.09796656168659368
0.44,0.7112278555859208,17.624714,0.054863955138585885
0.45999999999999996,0.7251645246960875,17.661005,0.06645966650403179
0.48,0.7305896960823756,17.217571,0.07187077507690076
0.5,0.7138371351709373,16.62484,0.0812757371006485
0.52,0.709516280188233,16.463737,0.11296398411244435
0.5399999999999999,0.7086771295039442,17.02729,0.07318934329765547
0.5599999999999999,0.6970907948365239,16.56802,0.06531698571703215
0.58,0.6964798764024257,16.365593,0.039691205352204495
0.6,0.7049965337354173,17.026539,0.054038622238264056
0.62,0.7046664934693166,16.977108,0.040056492898514096
0.64,0.7165040253943262,17.185383,0.045653644305144514
0.6599999999999999,0.7402448121932756,17.912903,0.039361105041759825
0.6799999999999999,0.7222277503814508,17.734764,0.029842518486720926
0.7,0.7102378543383254,17.118156,0.05468443294994385
0.72,0.7094003057946829,17.43138,0.02219118557869848
0.74,0.7225721589654885,17.501122,0.06867156347517389
0.76,0.7686235582229902,18.685883,0.11625160662165812
0.7799999999999999,0.7383150561479342,17.461979,0.11808550377645033
0.7999999999999999,0.7265007115866376,17.274925,0.05716878119928992
0.82,0.7246760529952968,17.94864,0.04583338846887974
0.84,0.7452945026496797,18.276728,0.04629124441055188
0.86,0.7308599048656451,17.197535,0.11627977139104884
0.88,0.7411204969751986,17.96917,0.034363402754717054
0.8999999999999999,0.7291838349242847,18.201645,0.06706431648988587
0.9199999999999999,0.7658066108708955,18.943325,0.076240010640925
0.94,0.7686483164441226,19.309147,0.08661741273698487
0.96,0.7804621528918401,20.069788,0.08951235883937858
0.98,0.793292257557316,21.020063,0.09678736001399646
1.0,0.8194060750644736,21.761234,0.0447788396107518
1.02,0.7589071432077109,19.503868,0.032187937859214255
1.04,0.7209159995678076,17.839622,0.04971639392001714
1.06,0.7808228013235817,20.0261,0.10857435520816583
1.0799999999999998,0.8067702315462371,20.404903,0.11748549001673336
1.0999999999999999,0.8810085249399561,22.171051,0.2614645214554562
1.1199999999999999,0.9111044426060133,22.357433,0.3100332873421874
1.14,0.9235161723241223,23.366558,0.2147279443385154
1.16,0.9422245417663526,22.958584,0.23345058329723978
1.18,0.8987245845991885,22.686794,0.2472471623763436
1.2,0.8402660049373801,21.888247,0.18026146031149504
1.22,0.944625472199535,22.743813,0.34483126992155144
1.24,0.8873323322271469,21.716328,0.30227721191750123
1.26,0.8848600702325525,21.105412,0.22879280774752897
1.28,0.9152635981895927,21.52092,0.2966299034949924
1.3,1.0300907677880236,22.351997,0.4441752965595873
1.3199999999999998,0.9875949602039371,21.598675,0.4702479708587808
1.3399999999999999,0.9475699728404116,21.180233,0.430608411622302
1.3599999999999999,0.9576952431252949,21.342976,0.2253098990525193
1.38,1.0177178427676026,22.252724,0.25656617542117344
1.4,0.9129325795730563,21.066837,0.17880472212512588
1.42,0.8302716556177129,20.322678,0.14106721090799457
1.44,0.8450910928986403,20.111574,0.1782458765407342
1.46,0.847052461553603,20.025455,0.19505750865998328
1.48,0.8589879794248706,20.37989,0.2256366912252319
1.5,0.7777396924642177,18.352549,0.1833190502168104
1.52,0.8495687845934196,18.601116,0.3657265630493304
1.54,0.8141876261420199,19.140224,0.2330942378810783
1.5599999999999998,0.7892753697777347,18.908045,0.19094984137428683
1.5799999999999998,0.8097919664926125,18.987804,0.23010640184007103
1.5999999999999999,0.7681365540780987,18.578766,0.15251442853728725
1.6199999999999999,0.7913020060077884,19.5376,0.1412019837114753
1.64,0.7747795380236611,19.1735,0.07618827780267068
1.66,0.7800253953395212,19.365295,0.06618275677656127
1.68,0.7547789687549785,18.913734,0.05455203670603548
1.7,0.78831955202704,19.257147,0.1463585942433867
