Sample Time (ns),"Radius of Gyration (Rg, nm)","Solvent Accessible Surface Area (SASA, nm**2)","Relative Shape Anisotropy (K2, dimensionless)"
0.02,1.0442020967842842,30.370405,0.2890811033090288
0.04,1.051361370063867,31.55912,0.27085082062733035
0.06,1.0453136642179262,30.699505,0.2750118757496045
0.08,1.0594636723699669,30.677376,0.2956075608593439
0.09999999999999999,1.0512586759230145,31.192032,0.2617336550223054
0.12,1.0366350772302093,31.232183,0.22707658034897882
0.13999999999999999,1.0533990975500194,31.990746,0.2550004348283269
0.16,1.036573045497246,31.304724,0.24659917911081164
0.18,1.0610541844161714,31.983013,0.28216033245202854
0.19999999999999998,1.0535545699538837,31.151749,0.27314722201063146
0.22,1.0509531580100502,31.07323,0.26683973596765587
0.24,1.0394802001074732,31.08015,0.23020532932370907
0.26,1.039572882118032,30.426968,0.26063195691846575
0.27999999999999997,1.0487757210467001,30.910538,0.2718811689246241
0.3,1.0371512480073461,31.02436,0.2521466940581515
0.32,1.0507202872559696,30.459904,0.27720748211120316
0.33999999999999997,1.059622692670184,31.830763,0.28147911375333345
0.36,1.064020165720414,31.27084,0.27077945980673557
0.38,1.0409865642827711,31.583044,0.25736284067614634
0.39999999999999997,1.0168269927428752,31.869287,0.24106962312145142
0.42,1.0369860755663183,31.727684,0.2596405723667593
0.44,1.0292430841345697,30.43737,0.2749328665648322
0.45999999999999996,1.0382625876375502,30.501371,0.28621549709495964
0.48,1.034144961153764,30.980997,0.27163145599039373
0.5,1.0285125704356954,31.608263,0.23862388263092338
0.52,1.0463831390932044,31.805214,0.2655312314165065
0.5399999999999999,1.0229180551898067,31.462765,0.2749598379597724
0.5599999999999999,1.0341675125036036,31.32956,0.27802949538334876
0.58,1.0306544621642781,31.71381,0.25157929651253985
0.6,1.0170257026452767,30.83098,0.24750135093694126
0.62,1.0148801520221196,30.862816,0.2374518314731583
0.64,1.0262923048639059,31.011412,0.27967030712822727
0.6599999999999999,1.0209818825040875,30.327698,0.2781740130182131
0.6799999999999999,1.030308708894299,30.054052,0.2678275112479924
0.7,1.0550243403237305,30.871002,0.27416325753911375
0.72,1.0343135661061038,31.037008,0.2619492209926775
0.74,1.0386862447823724,31.069078,0.27314644910785635
0.76,1.0352888411474004,31.058676,0.27542425623792766
0.7799999999999999,1.0454374301097256,31.279745,0.28968196711824823
0.7999999999999999,1.039246520262151,31.592913,0.2854754369384419
0.82,1.0349956829940312,30.800512,0.27622014522512395
0.84,1.0365466687353508,30.647882,0.2859096724340764
0.86,1.0404572709060405,30.317513,0.282588745361264
0.88,1.0337771603234533,29.845358,0.29574755791102225
0.8999999999999999,1.0293645601728467,30.902409,0.265549305119819
0.9199999999999999,1.0224174638536907,31.570562,0.22955099653194566
0.94,1.0121890844015995,31.04384,0.23751738374109932
0.96,1.0141046193982857,31.962652,0.220835283595175
0.98,1.0363615260554662,31.805702,0.2638961728677226
1.0,1.0558355543895417,31.67003,0.28001968410832856
1.02,1.0223787954584174,30.4869,0.246038620407806
1.04,1.035346563883519,31.508345,0.257307724663152
1.06,1.0508597156065895,32.306286,0.26595833347660225
1.0799999999999998,1.049425630609489,30.971233,0.2759786082396348
1.0999999999999999,1.0560651180743728,31.10641,0.28527333793700826
1.1199999999999999,1.0636891240496502,31.635912,0.29878159934795623
1.14,1.0597965600155481,31.255192,0.31024111424368706
1.16,1.036175866524349,30.970928,0.27280667406422
1.18,1.0370801512856662,31.271793,0.2647423776433748
1.2,1.029133401053876,30.829426,0.27742830560806175
1.22,1.0316979490753433,31.149258,0.2572882023890498
1.24,1.0444140417507715,30.75916,0.2884474265410759
1.26,1.032848476939736,30.540478,0.2743592565533668
1.28,1.0470056011748605,31.582808,0.27021033161889474
1.3,1.0311244536977453,31.248741,0.26371526057079686
1.3199999999999998,1.029802248958142,31.417076,0.2575878414348054
1.3399999999999999,1.0371980042824736,30.726147,0.29378068490220177
1.3599999999999999,1.0490611089156754,31.8262,0.26791416193327977
1.38,1.0478084400605068,31.634956,0.26341515741928323
1.4,1.0667789955929818,32.11051,0.2589163884608665
1.42,1.058978706533674,31.919676,0.27289035506299186
1.44,1.0438366593023947,32.04915,0.2503996673269525
1.46,1.0558768424389662,31.322308,0.2902630911212568
1.48,1.067704337207981,31.728617,0.29177740981808153
1.5,1.0637205716747629,31.111347,0.2975712034357695
1.52,1.0506908004982136,30.899195,0.279760389060314
1.54,1.060489238271925,31.334337,0.28040473883885764
1.5599999999999998,1.0442488224865487,30.82225,0.27971402155231917
1.5799999999999998,1.0361519134920671,30.44691,0.2612264311359027
1.5999999999999999,1.03668491717668,31.319508,0.25536990363070156
1.6199999999999999,1.0270651977952439,31.382532,0.2607987981858402
