Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.00018989487291260905,0.0
0.2425,0.0036428939377122055,0.0
0.2475,0.044414511764135335,0.0
0.2525,0.21868536120830837,0.0
0.2575,0.6391179751930524,5.384766831182512e-05
0.2625,1.174563519095132,0.0024353487470209637
0.26749998,1.5773886257827079,0.01826224138919024
0.2725,1.6981882270586128,0.08986674773125736
0.2775,1.5759738178077305,0.22876889723634428
0.2825,1.289961826731494,0.4086467355240685
0.2875,0.9834105357508051,0.5546425054484906
0.2925,0.7400399848198531,0.5956460104513486
0.2975,0.5527150626317147,0.5584838571690722
0.3025,0.41566780570716216,0.4910912421506001
0.3075,0.3194897405979296,0.4234437951855789
0.3125,0.2628418212337306,0.35852370274279627
0.3175,0.22593943002946854,0.3005323818466908
0.3225,0.2041227765158286,0.26667099360493723
0.3275,0.19177842783966312,0.2335562315089527
0.3325,0.18731476127491867,0.22193569646228295
0.3375,0.1889840447246305,0.21406071345571434
0.3425,0.19571167340804732,0.20584728573228991
0.3475,0.20363294990764705,0.20842292201234267
0.3525,0.20818465432875063,0.2159143537096249
0.35750002,0.22366037482179507,0.21938607587753645
0.3625,0.23728817157234958,0.22902805429787412
0.3675,0.2528176384783198,0.2412382046548853
0.3725,0.267666066751871,0.25598366006994927
0.3775,0.2784114448225209,0.27590594225932324
0.3825,0.297024951603664,0.2900941253564008
0.3875,0.3105956363729586,0.3237214051126519
0.39249998,0.3259075966601613,0.3500111310454953
0.3975,0.33360297012398465,0.37737381298317035
0.4025,0.3576974363932313,0.402988146916219
0.4075,0.3715726983178281,0.424768164762959
0.4125,0.38805228524802987,0.44185459203308086
0.4175,0.399275951306109,0.4497077896046746
0.4225,0.4103412264700969,0.46388660610745736
0.4275,0.42250823818624744,0.4629108570972416
0.4325,0.43079467823552103,0.47110831022778565
0.4375,0.4336887470271879,0.47478368916237196
0.4425,0.4449139304425944,0.4892795025056639
0.4475,0.45678075371571264,0.4963628323779899
