Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.0,0.0
0.2425,0.0005468018086703923,0.0
0.2475,0.009857091089578343,0.0
0.2525,0.07329908602706621,0.0
0.2575,0.2561641034448972,5.388390901238899e-05
0.2625,0.5748179120596341,0.0012444190771631984
0.26749998,0.9056377673617396,0.00768928306173271
0.2725,1.1158384454897168,0.04056107151687428
0.2775,1.1800615376585133,0.11919391720707402
0.2825,1.099307223166232,0.2396941915223786
0.2875,0.9242048910016113,0.3554434693749708
0.2925,0.7642578883603038,0.42411907077139205
0.2975,0.6124688741751094,0.45139908720182403
0.3025,0.49185120245581515,0.4244983943081386
0.3075,0.4004905350165973,0.3903639699270183
0.3125,0.3355692641322148,0.348557389815483
0.3175,0.2935751161263084,0.31207640921069
0.3225,0.2630373218767646,0.2679840861904977
0.3275,0.24310723833257006,0.24807065002228681
0.3325,0.228322296190311,0.22835461357122966
0.3375,0.22182692267635382,0.21238547701379973
0.3425,0.22959056685215756,0.20166080434175315
0.3475,0.22933370626073057,0.1982962842677611
0.3525,0.2393218573062206,0.1970530683791337
0.35750002,0.2476847802323923,0.19915421832681296
0.3625,0.25561058878283716,0.2080013832771731
0.3675,0.2636490499401459,0.20931078498158082
0.3725,0.2716828548136205,0.22044137238739503
0.3775,0.2885774055299178,0.2320904468280147
0.3825,0.2982993339720247,0.2425712062500304
0.3875,0.3080682446739443,0.26059808570858406
0.39249998,0.31703561840164046,0.2738751732044603
0.3975,0.33158881892576425,0.29534107774068513
0.4025,0.3411990679383615,0.3173585797707338
0.4075,0.3489724424441781,0.34249604407339707
0.4125,0.36326296562445376,0.3620660876452287
0.4175,0.36830586164028817,0.3818549586207106
0.4225,0.38551796321954146,0.3966065334715339
0.4275,0.3887752236683853,0.41276331576539366
0.4325,0.4037132134508297,0.4235779817129826
0.4375,0.4108526057818439,0.44628187637584393
0.4425,0.4132442128951498,0.4486620173385412
0.4475,0.4224751307762972,0.4681322049625612
0.4525,0.4269187242556421,0.48202414938436433
