Radius (nanometer),g(r) (chain O - water O),g(r) (chain N - water O)
0.0025,0.0,0.0
0.0075,0.0,0.0
0.012499999,0.0,0.0
0.0175,0.0,0.0
0.0225,0.0,0.0
0.0275,0.0,0.0
0.0325,0.0,0.0
0.0375,0.0,0.0
0.0425,0.0,0.0
0.0475,0.0,0.0
0.052500002,0.0,0.0
0.057499997,0.0,0.0
0.0625,0.0,0.0
0.067499995,0.0,0.0
0.072500005,0.0,0.0
0.0775,0.0,0.0
0.082499996,0.0,0.0
0.087500006,0.0,0.0
0.0925,0.0,0.0
0.0975,0.0,0.0
0.1025,0.0,0.0
0.1075,0.0,0.0
0.1125,0.0,0.0
0.1175,0.0,0.0
0.1225,0.0,0.0
0.1275,0.0,0.0
0.1325,0.0,0.0
0.1375,0.0,0.0
0.1425,0.0,0.0
0.14750001,0.0,0.0
0.1525,0.0,0.0
0.1575,0.0,0.0
0.1625,0.0,0.0
0.1675,0.0,0.0
0.1725,0.0,0.0
0.17750001,0.0,0.0
0.1825,0.0,0.0
0.1875,0.0,0.0
0.1925,0.0,0.0
0.19749999,0.0,0.0
0.2025,0.0,0.0
0.2075,0.0,0.0
0.2125,0.0,0.0
0.2175,0.0,0.0
0.2225,0.0,0.0
0.22749999,0.0,0.0
0.2325,0.0,0.0
0.2375,0.0,0.0
0.2425,0.0009115930420761911,0.0
0.2475,0.011026715924983053,0.0
0.2525,0.0689474564677216,0.0
0.2575,0.23025690600493745,0.0
0.2625,0.5203137127463074,0.0008298464318122926
0.26749998,0.8243835173865305,0.006792448707413555
0.2725,1.0376067550141745,0.037155360400340585
0.2775,1.0772707899485192,0.10804266754265694
0.2825,0.9939766739337954,0.21293742496644427
0.2875,0.8512205951973387,0.32458541210679237
0.2925,0.6914553723099044,0.3892752138316921
0.2975,0.5504566144143368,0.4058163860669077
0.3025,0.4507074571073187,0.3900142692091581
0.3075,0.3566462160442932,0.35350912024822745
0.3125,0.2997259545487685,0.30591077583310816
0.3175,0.25593575902543925,0.28124925562388275
0.3225,0.22665311238703173,0.24716734951484526
0.3275,0.2144198159230038,0.21691888137665186
0.3325,0.1969652754197613,0.20575807944309546
0.3375,0.1962554127025399,0.19506313361657723
0.3425,0.1964774012976993,0.18873895193661763
0.3475,0.2009861697843969,0.18746081569936238
0.3525,0.1992657504351433,0.18203708638914867
0.35750002,0.20717985307705727,0.18861224308337848
0.3625,0.2102085805621572,0.191714359475048
0.3675,0.22286554109523762,0.202251404724638
0.3725,0.23289246710858932,0.20989169591549373
0.3775,0.24045696981238987,0.22006778369876107
0.3825,0.2492349909221817,0.23289291418720773
0.3875,0.2577677440552844,0.25172222171086683
0.39249998,0.27348836164016316,0.2611931006621933
0.3975,0.2791161310735374,0.28671605166030467
0.4025,0.29311544862543965,0.30348379820427285
0.4075,0.302345766405316,0.32320090931866674
0.4125,0.3093435779239181,0.34030314024465785
0.4175,0.32697172842817646,0.3596750523664057
0.4225,0.33347157804263167,0.3669068287229387
0.4275,0.3394674844006967,0.38546250273760774
0.4325,0.3476931488667422,0.40067441613828175
0.4375,0.35605432849855295,0.4112857881293002
0.4425,0.3606479065925299,0.4176864565242904
0.4475,0.368286339461126,0.4384956077030367
0.4525,0.372197318283653,0.44313194131426475
